ICAO,IATA,Name,Municipality,Country,"Lat, Long"
KMLU,MLU,Monroe Regional Airport,Monroe,United States,"32.5102491762123, -92.0436765455032"
MSLP,SAL,Monseñor Óscar Arnulfo Romero International Airport,San Salvador (San Luis Talpa),El Salvador,"13.444724660168848, -89.05706234564413"
KMGM,MGM,Montgomery Regional (Dannelly Field) Airport,Montgomery,United States,"32.30479431751325, -86.39069884550554"
CYUL,YUL,Montreal / Pierre Elliott Trudeau International Airport,Montréal,Canada,"45.4657001281454, -73.74553504531582"
KBNA,BNA,Nashville International Airport,Nashville,United States,"36.12633431186654, -86.67742494545791"
KEWR,EWR,Newark Liberty International Airport,Newark,United States,"40.689547649688905, -74.17451604539285"
KPHF,PHF,Newport News Williamsburg International Airport,Newport News,United States,"37.13029658733408, -76.50264754544425"
KORF,ORF,Norfolk International Airport,Norfolk,United States,"36.8956493592411, -76.20015557614052"
MKJP,KIN,Norman Manley International Airport,Kingston,Jamaica,"17.93624060258132, -76.77895754562624"
KSJC,SJC,Norman Y. Mineta San Jose International Airport,San Jose,United States,"37.36396423432262, -121.92899114544106"
KONT,ONT,Ontario International Airport,Ontario,United States,"34.05601535808612, -117.5981458454844"
KMCO,MCO,Orlando International Airport,Orlando,United States,"28.41793555452263, -81.30419874554751"
KSFB,SFB,Orlando Sanford International Airport,Orlando,United States,"28.775959090203013, -81.23434154554398"
CYOW,YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,"45.319227067197104, -75.66921884531843"
MWCR,GCM,Owen Roberts International Airport,Georgetown,Cayman Islands,"19.29585573925096, -81.35777044561885"
KPBI,PBI,Palm Beach International Airport,West Palm Beach,United States,"26.685766655295247, -80.09287014556408"
KPHL,PHL,Philadelphia International Airport,Philadelphia,United States,"39.872946347511814, -75.24372094540519"
MZBZ,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,"17.536088148471656, -88.30782284562824"
KPHX,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,"33.435266887400395, -112.01017764549218"
KGSO,GSO,Piedmont Triad International Airport,Greensboro,United States,"36.10438441671678, -79.9352341454582"
KPIT,PIT,Pittsburgh International Airport,Pittsburgh,United States,"40.49193709786328, -80.2352769453959"
